tournament,date,average_driving_distance
Southwest Golf Classic,1986-09-28,269.36478873239423
Southern Open,1986-10-05,269.1917647058821
Pensacola Open,1986-10-12,264.065882352941
Walt Disney World/Oldsmobile Classic,1986-10-19,255.3828571428571
Vantage Championship,1986-10-26,268.0353846153847
MONY Tournament of Champions,1987-01-10,242.9
Bob Hope Chrysler Classic,1987-01-18,256.6014084507042
Phoenix Open,1987-01-25,270.90526315789464
AT&T Pebble Beach National Pro-Am,1987-02-01,245.4623188405795
Hawaiian Open,1987-02-08,266.5175
Shearson Lehman Brothers Andy Williams Open,1987-02-15,263.9158536585364
Los Angeles Open Presented by Nissan,1987-02-22,262.4792207792207
Doral-Ryder Open,1987-03-01,256.48607594936703
Honda Classic,1987-03-08,254.52337662337658
Hertz Bay Hill Classic,1987-03-15,255.1381578947368
USF&G Classic,1987-03-22,263.9896551724137
Tournament Players Championship,1987-03-29,261.4333333333333
Greater Greensboro Open,1987-04-05,253.45921052631576
Masters Tournament,1987-04-12,259.2851851851851
MCI Heritage Golf Classic,1987-04-19,259.8027027027027
"\"Big \"\"I\"\" Houston Open\"",1987-04-26,264.149315068493
Panasonic Las Vegas Invitational,1987-05-03,277.27142857142843
Byron Nelson Golf Classic,1987-05-10,259.12972972972955
Colonial National Invitation,1987-05-17,265.7031746031745
Georgia-Pacific Atlanta Golf Classic,1987-05-24,256.204109589041
Memorial Tournament,1987-05-31,252.80389610389608
Kemper Open,1987-06-05,267.86052631578934
Manufacturers Hanover Westchester Classic,1987-06-14,257.4287671232877
U.S. Open Championship,1987-06-21,257.73896103896095
Canon Sammy Davis Jr.-Greater Hartford Open,1987-06-28,265.71647058823515
Canadian Open,1987-07-05,264.6714285714284
Anheuser-Busch Golf Classic,1987-07-12,276.9133333333333
Hardee's Golf Classic,1987-07-19,275.3480519480518
Buick Open,1987-07-26,263.3414285714285
Federal Express St. Jude Classic,1987-08-02,263.06363636363636
PGA Championship,1987-08-09,258.7520547945205
Beatrice Western Open,1987-08-23,265.324
NEC World Series of Golf,1987-08-30,264.2
Provident Classic,1987-08-30,281.16486486486474
B.C. Open,1987-09-06,272.8211267605633
Bank of Boston Classic,1987-09-13,263.53902439024387
Greater Milwaukee Open,1987-09-20,255.51547619047597
Southwest Golf Classic,1987-09-27,272.69629629629605
Southern Open,1987-10-04,272.8759493670885
Pensacola Open,1987-10-11,257.53116883116866
Walt Disney World/Oldsmobile Classic,1987-10-18,257.98589743589736
Seiko Tucson Open,1987-10-25,272.91707317073167
Centel Classic,1987-11-01,263.4028571428571
Nabisco Championship,1987-11-01,271.2633333333334
MONY Tournament of Champions,1988-01-17,248.39210526315787
Bob Hope Chrysler Classic,1988-01-24,259.7042857142857
Phoenix Open,1988-01-31,276.0608695652173
AT&T Pebble Beach National Pro-Am,1988-02-07,259.2507936507935
Hawaiian Open,1988-02-14,265.45352112676045
Shearson Lehman Hutton Andy Williams Open,1988-02-21,272.3577464788731
Los Angeles Open Presented by Nissan,1988-02-28,257.94000000000005
Doral-Ryder Open,1988-03-06,259.10999999999984
Honda Classic,1988-03-13,254.84729729729722
Hertz Bay Hill Classic,1988-03-20,251.20416666666657
THE PLAYERS Championship,1988-03-27,267.69014084507035
KMart Greater Greensboro Open,1988-04-03,263.2851851851852
Masters Tournament,1988-04-10,263.0217391304348
MCI Heritage Golf Classic,1988-04-17,253.05945945945942
USF&G Classic,1988-04-24,266.1638888888888
Independent Insurance Agent Open,1988-05-01,256.3281690140845
Panasonic Las Vegas Invitational,1988-05-08,278.6347222222221
GTE Byron Nelson Golf Classic,1988-05-15,272.9868421052631
Colonial National Invitation,1988-05-22,263.37432432432416
Memorial Tournament,1988-05-29,255.1849315068492
Kemper Open,1988-06-05,273.861038961039
Manufacturers Hanover Westchester Classic,1988-06-12,259.354054054054
U.S. Open Championship,1988-06-19,268.3630769230769
Georgia-Pacific Atlanta Golf Classic,1988-06-26,252.52253521126752
Beatrice Western Open,1988-07-03,264.6546511627905
Anheuser-Busch Golf Classic,1988-07-10,248.71973684210508
Hardee's Golf Classic,1988-07-17,262.07530864197514
Canon Sammy Davis Jr.-Greater Hartford Open,1988-07-24,253.8694444444444
Buick Open,1988-07-31,255.48767123287675
Federal Express St. Jude Classic,1988-08-07,263.78428571428566
PGA Championship,1988-08-14,265.7957746478873
NEC World Series of Golf,1988-08-28,271.0536585365853
Provident Classic,1988-08-28,275.30958904109565
Canadian Open,1988-09-04,260.5057142857141
Greater Milwaukee Open,1988-09-11,268.71685393258406
Bank of Boston Classic,1988-09-18,261.2680555555555
B.C. Open,1988-09-25,260.7743589743589
